,Unit,Example,Description
init_step,-,1,Initial time step index
final_step,-,1152,Final time step index
d_rate,-,0.03,Discount rate applied to yearly cash flows
project_lifetime,years,20,Total project lifetime
user_set,list,"[user1, user2, user3]",List of users included in the simulation
profile,,,
--time_res,str or float or list,time_res,"Time resolution of the simulation. When a string is provided, the time resolution profile is loaded from the optional_datasets; alternatively, a float or list of floats can be provided directly"
--energy_weight,str or float or list,energy_weight,Weight of each time step over the year
--reward_price,str or float or list,reward_price,Column containing the reward value for shared energy
--peak_categories,str or float or list,peak_categories,Peak-category label for each time step
optional_datasets,list,"[input_resource.csv,...]",List of datasets from where to load the profile quantities when string entries values are provided
