time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,pv,wind
1,31.85495463,6.955732835,12.09105185,4.092521287,36.50329691,18.96960046,12.21765245,15.27316224,9.04934566,2.504524619,0,0.207014927
2,27.769434,7.883770214,12.27109671,3.407162991,27.83781628,17.27387581,16.03208441,15.16090448,9.472634163,2.70511691,0,0.126732202
3,29.33709332,8.194700492,14.20716599,3.588108056,28.2733134,16.28210467,15.47594134,14.67100604,8.12780136,3.132713633,0,0.176384763
4,25.99884788,7.477975369,15.1237509,4.057100356,30.61317634,20.54893461,13.72309428,12.15199878,9.612209232,3.522775907,0,0.189907136
5,33.6844426,7.435546053,10.30974117,3.473453508,28.07838679,15.60404678,13.91802606,12.88934831,7.376602606,3.04946378,0,0.175742348
6,29.34681176,7.133958493,11.67569788,3.255220839,32.32958397,12.81244173,16.01385373,12.40946439,8.633138809,3.097832048,0,0.233625456
7,26.18996659,6.536846616,12.62960324,3.623418053,26.91918447,12.22354399,13.26872985,14.15568169,8.679196425,3.470002452,0,0.214207131
8,25.63734665,6.935820444,12.52075933,3.690146191,33.92296352,16.17995617,14.76703779,12.96943391,6.921593993,3.148953908,0,0.186127214
9,24.80840681,6.420678578,12.3506438,3.821978735,32.91682072,14.19118648,13.43609834,9.392989048,9.155500134,3.167330182,0,0.150319631
10,24.3252762,5.617051331,11.74324586,4.179674018,28.87932639,16.32563145,10.85669981,11.49544389,9.864647062,3.151336698,0,0.207536666
11,21.75292944,5.537352246,10.57413497,3.476335693,33.82425011,14.98827741,11.08306277,10.70776522,9.545307844,2.972183211,0,0.200326556
12,18.64517749,7.072755774,11.95164208,3.157698687,35.77957102,15.10067995,13.07403088,10.7459797,8.456968769,3.345311423,0,0.200119753
13,23.65780739,5.958422029,9.914538986,3.574770004,28.11301459,15.64293532,10.612472,10.08344595,8.984860628,3.02566496,0,0.138660191
14,20.3940475,5.809623844,10.82079304,3.897402226,30.85669498,13.2886174,11.515885,9.78515705,8.445690872,3.140250553,0,0.143633798
15,24.20812751,5.58314066,12.58359504,3.11596348,26.22671697,14.37639631,12.2218029,9.620490549,7.949158725,3.586735221,0,0.198886744
16,25.68174893,5.12893143,10.83386957,3.454398356,33.7023973,14.79969706,10.82427561,9.239272555,8.177199676,2.83305602,0,0.144717779
17,19.65706923,5.39033098,12.56001692,2.915537428,35.20831709,14.34442045,12.53905399,7.902970952,8.569820962,2.946523731,0,0.225211115
18,23.95738579,4.98360533,12.22733677,4.027621342,35.43741373,15.85014957,11.56031758,10.26276434,8.087905752,3.256228929,0,0.184906648
19,22.89714082,4.641757831,11.66066166,3.706862328,31.4129433,13.93331167,10.63282567,7.690178462,10.04788682,3.250127042,0,0.161009232
20,23.61502971,6.083830336,12.23571118,4.107173586,28.30804796,12.45252185,11.31307638,11.2325314,8.625853819,3.197968753,0,0.165701169
21,23.88943248,5.733273863,11.60828539,3.808403186,21.14433573,12.75427253,10.76389392,9.172054434,8.359315107,3.725788092,0,0.227467857
22,26.57926943,5.773940828,12.17250524,3.410272935,28.28308726,12.12151937,11.45447022,9.579301335,7.846144379,2.864573349,0,0.161944248
