time,load_user1,load_user2,load_user3,load_user4,load_user5,load_user6,load_user7,load_user8,load_user9,load_user10,load_user11,pv,wind
1,0.353513,0.212163,0.550888,0.099042,0.081831,0.146435,0.146435,0.166477,0.084251,0.101101,0.277462,0,0.207014927
2,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.126732202
3,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.176384763
4,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.189907136
5,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.175742348
6,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.233625456
7,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.214207131
8,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.186127214
9,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.150319631
10,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.207536666
11,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.200326556
12,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.200119753
13,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.138660191
14,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.143633798
15,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.198886744
16,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.144717779
17,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.225211115
18,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.184906648
19,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.161009232
20,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.165701169
21,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.227467857
22,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.161944248
23,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.175588861
24,0.439366,0.254596,0.236095,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0,0.1419637
25,0.439366,0.509191,0.236095,0.176074,0.158207,0.260328,0.260328,0.29596,0.162885,0.179735,0.110985,0,0.191266331
26,0.439366,0.636489,0.236095,0.231097,0.212761,0.341681,0.341681,0.388447,0.219052,0.235902,0.388447,0,0.212002972
27,0.439366,0.636489,0.236095,0.231097,0.212761,0.341681,0.341681,0.388447,0.219052,0.235902,0.388447,0,0.238561448
28,0.439366,0.636489,0.236095,0.231097,0.212761,0.341681,0.341681,0.388447,0.219052,0.235902,0.388447,0,0.168186242
29,0.600971,1.909467,0.236095,0.363152,0.310959,0.536927,0.536927,0.610417,0.320153,0.370703,0.388447,8.42E-05,0.195942191
30,0.681774,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.000100441,0.214129961
31,0.681774,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.000110299,0.170390248
32,0.984785,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.000126866,0.173351612
33,1.742312,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.134764006,0.121950455
34,2.121076,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.074714116,0.114611827
35,2.121076,2.545956,0.236095,0.42918,0.360058,0.63455,0.63455,0.721402,0.370703,0.438104,0.721402,0.104545233,0.18081011
36,2.121076,2.545956,0.236095,0.176074,0.212761,0.341681,0.341681,0.388447,0.162885,0.179735,0.388447,0.089884782,0.182230288
37,2.121076,2.545956,0.236095,0.176074,0.212761,0.341681,0.341681,0.326789,0.106718,0.123568,0.326789,0.404129203,0.115254248
38,2.121076,2.545956,0.236095,0.176074,0.212761,0.341681,0.341681,0.29596,0.087995,0.104845,0.29596,0.236990576,0.144474886
39,2.121076,2.545956,0.236095,0.139392,0.212761,0.341681,0.341681,0.29596,0.05055,0.067401,0.29596,0.157812895,0.109648169
40,2.121076,2.545956,0.236095,0.121051,0.158207,0.341681,0.341681,0.29596,0.05055,0.067401,0.265131,0.310333613,0.123795425
41,1.616058,1.697304,0.865682,0.084369,0.085468,0.178976,0.178976,0.172643,0.05055,0.067401,0.203472,0.404723174,0.120950065
42,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.577527737,0.14967378
43,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.315618656,0.139242937
44,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.40881613,0.104188004
45,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.593187344,0.14145223
46,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.388199389,0.178916418
47,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.556717013,0.175447992
48,1.363549,1.272978,1.180475,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.44576974,0.157186036
49,1.868567,2.12163,3.541425,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.371546732,0.228532082
50,2.121076,2.545956,4.7219,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.588717017,0.180252766
51,2.121076,2.545956,4.7219,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.372207169,0.119973907
52,2.121076,2.545956,4.7219,0.066028,0.049099,0.097623,0.097623,0.110985,0.05055,0.067401,0.110985,0.592501449,0.258218776
53,2.121076,2.545956,4.7219,0.198083,0.147296,0.292869,0.292869,0.332955,0.151651,0.202202,0.110985,0.501829802,0.220050151
54,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.460527126,0.238278659
55,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.477684199,0.158599706
56,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.454015611,0.197295244
57,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.43017838,0.225097726
58,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.616374691,0.221571279
59,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.340713182,0.166991463
60,2.121076,2.545956,4.7219,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.535091918,0.176939022
61,1.616058,1.272978,3.147933,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.360948189,0.158210866
62,1.363549,0.636489,2.36095,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.264215539,0.172794658
63,1.363549,0.636489,2.36095,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.311799617,0.196667238
64,1.363549,0.636489,2.36095,0.264111,0.196395,0.390492,0.390492,0.44394,0.202202,0.269602,0.44394,0.391406353,0.130387824
65,1.363549,0.636489,2.36095,0.374157,0.305503,0.553197,0.553197,0.628914,0.314536,0.381937,0.44394,0.160781863,0.163590887
