time,buy_price,consumption_price,sell_price,reward_price,peak_categories,peak_tariff,peak_weight,energy_weight,time_res
1,0.100214,0.02,0.0855,0.12,A,2.5,1,30.41666667,0.25
2,0.100214,0.02,0.0855,0.12,A,2.5,1,30.41666667,0.25
3,0.100214,0.02,0.0855,0.12,A,2.5,1,30.41666667,0.25
4,0.100214,0.02,0.0855,0.12,A,2.5,1,30.41666667,0.25
5,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
6,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
7,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
8,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
9,0.100214,0.02,0.0841,0.12,A,2.5,1,30.41666667,0.25
10,0.100214,0.02,0.0841,0.12,A,2.5,1,30.41666667,0.25
11,0.100214,0.02,0.0841,0.12,A,2.5,1,30.41666667,0.25
12,0.100214,0.02,0.0841,0.12,A,2.5,1,30.41666667,0.25
13,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
14,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
15,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
16,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
17,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
18,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
19,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
20,0.100214,0.02,0.0834,0.12,A,2.5,1,30.41666667,0.25
21,0.100214,0.02,0.0849,0.12,A,2.5,1,30.41666667,0.25
22,0.100214,0.02,0.0849,0.12,A,2.5,1,30.41666667,0.25
23,0.100214,0.02,0.0849,0.12,A,2.5,1,30.41666667,0.25
24,0.100214,0.02,0.0849,0.12,A,2.5,1,30.41666667,0.25
25,0.100214,0.02,0.10252,0.12,A,2.5,1,30.41666667,0.25
26,0.100214,0.02,0.10252,0.12,A,2.5,1,30.41666667,0.25
27,0.100214,0.02,0.10252,0.12,A,2.5,1,30.41666667,0.25
28,0.100214,0.02,0.10252,0.12,A,2.5,1,30.41666667,0.25
29,0.100214,0.02,0.11003,0.12,A,2.5,1,30.41666667,0.25
30,0.100214,0.02,0.11003,0.12,A,2.5,1,30.41666667,0.25
31,0.100214,0.02,0.11003,0.12,A,2.5,1,30.41666667,0.25
32,0.100214,0.02,0.11003,0.12,A,2.5,1,30.41666667,0.25
33,0.100214,0.02,0.122,0.12,A,2.5,1,30.41666667,0.25
34,0.100214,0.02,0.122,0.12,A,2.5,1,30.41666667,0.25
35,0.100214,0.02,0.122,0.12,A,2.5,1,30.41666667,0.25
36,0.100214,0.02,0.122,0.12,A,2.5,1,30.41666667,0.25
37,0.100214,0.02,0.11959,0.12,A,2.5,1,30.41666667,0.25
38,0.100214,0.02,0.11959,0.12,A,2.5,1,30.41666667,0.25
39,0.100214,0.02,0.11959,0.12,A,2.5,1,30.41666667,0.25
40,0.100214,0.02,0.11959,0.12,A,2.5,1,30.41666667,0.25
41,0.100214,0.02,0.10621,0.12,A,2.5,1,30.41666667,0.25
42,0.100214,0.02,0.10621,0.12,A,2.5,1,30.41666667,0.25
43,0.100214,0.02,0.10621,0.12,A,2.5,1,30.41666667,0.25
44,0.100214,0.02,0.10621,0.12,A,2.5,1,30.41666667,0.25
45,0.100214,0.02,0.103,0.12,A,2.5,1,30.41666667,0.25
46,0.100214,0.02,0.103,0.12,A,2.5,1,30.41666667,0.25
47,0.100214,0.02,0.103,0.12,A,2.5,1,30.41666667,0.25
48,0.100214,0.02,0.103,0.12,A,2.5,1,30.41666667,0.25
49,0.100214,0.02,0.095,0.12,A,2.5,1,30.41666667,0.25
50,0.100214,0.02,0.095,0.12,A,2.5,1,30.41666667,0.25
51,0.100214,0.02,0.095,0.12,A,2.5,1,30.41666667,0.25
52,0.100214,0.02,0.095,0.12,A,2.5,1,30.41666667,0.25
53,0.100214,0.02,0.09078,0.12,A,2.5,1,30.41666667,0.25
54,0.100214,0.02,0.09078,0.12,A,2.5,1,30.41666667,0.25
55,0.100214,0.02,0.09078,0.12,A,2.5,1,30.41666667,0.25
56,0.100214,0.02,0.09078,0.12,A,2.5,1,30.41666667,0.25
57,0.100214,0.02,0.0997,0.12,A,2.5,1,30.41666667,0.25
58,0.100214,0.02,0.0997,0.12,A,2.5,1,30.41666667,0.25
59,0.100214,0.02,0.0997,0.12,A,2.5,1,30.41666667,0.25
60,0.100214,0.02,0.0997,0.12,A,2.5,1,30.41666667,0.25
61,0.100214,0.02,0.10376,0.12,A,2.5,1,30.41666667,0.25
62,0.100214,0.02,0.10376,0.12,A,2.5,1,30.41666667,0.25
63,0.100214,0.02,0.10376,0.12,A,2.5,1,30.41666667,0.25
64,0.100214,0.02,0.10376,0.12,A,2.5,1,30.41666667,0.25
65,0.100214,0.02,0.11,0.12,A,2.5,1,30.41666667,0.25
66,0.100214,0.02,0.11,0.12,A,2.5,1,30.41666667,0.25
67,0.100214,0.02,0.11,0.12,A,2.5,1,30.41666667,0.25
68,0.100214,0.02,0.11,0.12,A,2.5,1,30.41666667,0.25
69,0.100214,0.02,0.11613,0.12,A,2.5,1,30.41666667,0.25
70,0.100214,0.02,0.11613,0.12,A,2.5,1,30.41666667,0.25
71,0.100214,0.02,0.11613,0.12,A,2.5,1,30.41666667,0.25
72,0.100214,0.02,0.11613,0.12,A,2.5,1,30.41666667,0.25
73,0.100214,0.02,0.115,0.12,A,2.5,1,30.41666667,0.25
74,0.100214,0.02,0.115,0.12,A,2.5,1,30.41666667,0.25
75,0.100214,0.02,0.115,0.12,A,2.5,1,30.41666667,0.25
76,0.100214,0.02,0.115,0.12,A,2.5,1,30.41666667,0.25
77,0.100214,0.02,0.1139,0.12,A,2.5,1,30.41666667,0.25
