time;load_user1;load_user2;load_user3;load_user4;load_user5;load_user6;load_user7;load_user8;load_user9;load_user10;std_load_user1;std_load_user2;std_load_user3;std_load_user4;std_load_user5;std_load_user6;std_load_user7;std_load_user8;std_load_user9;std_load_user10;pv;std_pv;wind;std_wind
1;28.98623699;7.81112577;12.956621;3.567730751;31.3503305;17.63268156;14.42089656;14.26687764;8.694022859;3.024022109;2.164462811;1.834537192;3.886986301;0.130125423;2.991498867;2.429470004;1.766110544;1.995862239;2.608206858;0.907206633;0;0;0.1797;0.153991525
2;28.98623699;7.81112577;12.956621;3.567730751;31.3503305;17.63268156;14.42089656;14.26687764;8.694022859;3.024022109;2.164462811;1.834537192;3.886986301;0.130125423;2.991498867;2.429470004;1.766110544;1.995862239;2.608206858;0.907206633;0;0;0.1797;0.153991525
3;28.98623699;7.81112577;12.956621;3.567730751;31.3503305;17.63268156;14.42089656;14.26687764;8.694022859;3.024022109;2.164462811;1.834537192;3.886986301;0.130125423;2.991498867;2.429470004;1.766110544;1.995862239;2.608206858;0.907206633;0;0;0.1797;0.153991525
4;28.98623699;7.81112577;12.956621;3.567730751;31.3503305;17.63268156;14.42089656;14.26687764;8.694022859;3.024022109;2.164462811;1.834537192;3.886986301;0.130125423;2.991498867;2.429470004;1.766110544;1.995862239;2.608206858;0.907206633;0;0;0.1797;0.153991525
5;25.77207116;6.623790677;12.416978;3.591881875;31.37393768;15.63663873;13.24350253;12.12025316;8.356754731;3.098426871;2.03352025;1.951253698;3.7250934;0.117323609;2.511658832;2.187101327;1.655376602;1.993055894;2.507026419;0.929528061;0;0;0.1902;0.16665645
6;25.77207116;6.623790677;12.416978;3.591881875;31.37393768;15.63663873;13.24350253;12.12025316;8.356754731;3.098426871;2.03352025;1.951253698;3.7250934;0.117323609;2.511658832;2.187101327;1.655376602;1.993055894;2.507026419;0.929528061;0;0;0.1902;0.16665645
7;25.77207116;6.623790677;12.416978;3.591881875;31.37393768;15.63663873;13.24350253;12.12025316;8.356754731;3.098426871;2.03352025;1.951253698;3.7250934;0.117323609;2.511658832;2.187101327;1.655376602;1.993055894;2.507026419;0.929528061;0;0;0.1902;0.16665645
8;25.77207116;6.623790677;12.416978;3.591881875;31.37393768;15.63663873;13.24350253;12.12025316;8.356754731;3.098426871;2.03352025;1.951253698;3.7250934;0.117323609;2.511658832;2.187101327;1.655376602;1.993055894;2.507026419;0.929528061;0;0;0.1902;0.16665645
9;23.22927157;6.195030783;11.61270237;3.597919656;31.06704438;14.73463687;12.43240886;10.80696203;8.492598838;3.199404762;1.978442295;1.769594918;3.48381071;0.137865072;2.029440859;1.81348786;1.465444453;2.032324838;2.547779651;0.959821429;0;0;0.191466667;0.174924167
10;23.22927157;6.195030783;11.61270237;3.597919656;31.06704438;14.73463687;12.43240886;10.80696203;8.492598838;3.199404762;1.978442295;1.769594918;3.48381071;0.137865072;2.029440859;1.81348786;1.465444453;2.032324838;2.547779651;0.959821429;0;0;0.191466667;0.174924167
