time,t_load_u1,t_load_u2,load_t_user3,t_load_u3,t_load_u4,t_load_u5,t_load_u6,t_load_u7,t_load_u8,t_load_u9,t_load_u10,t_load_u1_heat_cool,T_int,T_ext,mode,
1,10,10,7.904639538,25,10,0,10,10,10,10,10,10,20,5,1,
2,10,10,6.978618506,25,10,0,10,10,10,10,10,10,20,5,1,
3,10,10,6.219695185,25,10,0,10,10,10,10,10,10,20,5,1,
4,10,10,5.674585435,25,10,0,10,10,10,10,10,10,20,5,1,
5,10,10,5.075766955,25,10,0,10,10,10,10,10,10,20,5,1,
6,10,10,4.706851,25,10,0,10,10,10,10,10,10,20,5,1,
7,10,10,4.43675714,25,10,0,10,10,10,10,10,10,20,5,1,
8,10,10,4.220910338,25,10,0,10,10,10,10,10,10,20,5,1,
9,10,10,4.070707607,25,10,0,10,10,10,10,10,10,20,5,1,
10,10,10,3.936902676,25,10,0,10,10,10,10,10,10,20,5,1,
11,10,10,3.807350709,25,10,0,10,10,10,10,10,10,20,5,1,
12,10,10,3.635111813,25,10,0,10,10,10,10,10,10,20,5,1,
13,10,10,3.373022209,25,10,0,10,10,10,10,10,10,20,5,1,
14,10,10,3.031716749,25,10,0,10,10,10,10,10,10,20,5,1,
15,10,10,2.932529858,25,10,0,10,10,10,10,10,10,20,5,1,
16,10,10,2.598998755,25,10,0,10,10,10,10,10,10,20,5,1,
17,10,10,2.444216736,25,10,0,10,10,10,10,10,10,20,5,1,
18,10,10,2.428445806,25,10,0,10,10,10,10,10,10,20,5,1,
19,10,10,2.638592294,25,10,0,10,10,10,10,10,10,20,5,1,
20,10,10,2.880144587,25,10,0,10,10,10,10,10,10,20,5,1,
21,10,10,3.084572129,25,10,0,10,10,10,10,10,10,20,5,1,
22,10,10,3.28902281,10,10,0,10,10,10,10,10,10,20,5,1,
23,10,10,3.425615953,10,10,0,10,10,10,10,10,10,20,5,1,
24,10,10,3.556249608,10,10,0,10,10,10,10,10,10,20,5,1,
25,10,10,3.695346997,10,10,0,10,10,10,10,10,10,20,5,1,
26,10,10,3.591791031,10,10,0,10,10,10,10,10,10,20,5,1,
27,10,10,3.657958533,10,10,0,10,10,10,10,10,10,20,5,1,
28,10,10,3.747079244,10,10,0,10,10,10,10,10,10,20,5,1,
