Parameter,Unit,Example,Description
type,-,thermal,Category fuel-fired electricity generator
CAPEX\_lin,€/kW,3000,Specific investment cost per unit of nominal generator capacity
OEM\_lin,€/kW/y,0.0,Specific fixed annual O&M cost linked to installed capacity
OEM\_com,€/kWh/y,0.02,Variable O&M cost proportional to dispatched energy (commitment-related)
fuel\_price,€/unit,0.2,Cost of fuel per unit consumed
lifetime\_y,years,10,Component lifetime
inter\_map,unit/kWh,0.54,Intercept of the linear fuel consumption map
slope\_map,unit/kWh,3.7,Slope of the linear fuel consumption map
min\_technical,-,0.2,Minimum technical operating point (fraction of nominal capacity)
max\_technical,-,1.0,Maximum technical operating point (fraction of nominal capacity)
max\_capacity,kW,30,Maximum total installable generator capacity
modularity,-,true,Whether the generator must be installed in integer modules
nom\_capacity,kW,10,Nominal capacity of one generator module
